"","season","scenario","model","ppt.past","ppt.present","ppt.future","change"
"1","fall2spr","rcp26","bcc-csm1-1",180.254941176471,196.476886666667,178.633,-0.00899804003088435
"4","summer","rcp26","bcc-csm1-1",68.3644183006536,63.2966133333333,66.8763333333333,-0.0217669513514464
"7","fall2spr","rcp45","bcc-csm1-1",180.254941176471,191.325073333333,198.462784722222,0.101011619581213
"10","summer","rcp45","bcc-csm1-1",68.3644183006536,64.9397333333333,56.6502777777778,-0.171348499907646
"13","fall2spr","rcp60","bcc-csm1-1",180.254941176471,199.556933333333,191.570166666667,0.0627734552869672
"16","summer","rcp60","bcc-csm1-1",68.3644183006536,69.1919733333333,63.9796111111111,-0.0641387332553456
"19","fall2spr","rcp85","bcc-csm1-1",180.254941176471,191.99908,180.507979166667,0.00140377838490625
"22","summer","rcp85","bcc-csm1-1",68.3644183006536,77.57072,63.9559722222222,-0.0644845109197576
"25","fall2spr","rcp26","ccsm4",181.142815686275,190.812682666667,193.230411111111,0.0667296430114646
"28","summer","rcp26","ccsm4",67.8345464052288,65.8036746666667,70.0728222222222,0.0329961050173829
"31","fall2spr","rcp45","ccsm4",181.142815686275,190.108949333333,195.518176388889,0.0793592649432557
"34","summer","rcp45","ccsm4",67.8345464052288,67.9954826666667,68.1012111111111,0.00393110472486028
"37","fall2spr","rcp60","ccsm4",181.142815686275,190.462150666667,195.040047222222,0.0767197500121488
"40","summer","rcp60","ccsm4",67.8345464052288,64.3979146666667,69.2135166666667,0.0203284363869736
"43","fall2spr","rcp85","ccsm4",181.142815686275,190.874926666667,200.496002777778,0.106839385366635
"46","summer","rcp85","ccsm4",67.8345464052288,68.7610453333333,65.7978888888889,-0.0300238982092299
"49","fall2spr","rcp26","cesm1-cam5",180.588211328976,201.393515555556,215.668104166667,0.194253504032918
"52","summer","rcp26","cesm1-cam5",68.3303442265795,78.1750577777778,83.0753611111111,0.215790174210713
"55","fall2spr","rcp45","cesm1-cam5",180.588211328976,197.320153333333,212.468990740741,0.176538541343033
"58","summer","rcp45","cesm1-cam5",68.3303442265795,72.8083911111111,79.5252685185185,0.163835327022754
"61","fall2spr","rcp60","cesm1-cam5",180.598421568627,193.22849,228.222944444444,0.263703981807613
"64","summer","rcp60","cesm1-cam5",68.0436209150327,70.4759866666667,77.6243611111111,0.140802915353992
"67","fall2spr","rcp85","cesm1-cam5",180.588211328976,200.77512,220.873641203704,0.223078957248987
"70","summer","rcp85","cesm1-cam5",68.3303442265795,70.8853866666667,78.2937037037037,0.145811638883104
"73","fall2spr","rcp26","csiro-mk3-6-0",181.647062745098,179.652685333333,194.177759027778,0.068983753952927
"76","summer","rcp26","csiro-mk3-6-0",68.2377830065359,66.6727066666667,69.2098111111111,0.0142447198860792
"79","fall2spr","rcp45","csiro-mk3-6-0",181.647062745098,178.040104666667,187.2131625,0.030642387885527
