"","season","scenario","ppt.past","ppt.present","ppt.future","change"
"1","fall2spr","rcp26",181.075733200194,196.044241771605,203.035812660751,0.121275662246132
"4","summer","rcp26",68.3299806584362,69.3713511851852,73.3256037294239,0.0731102661357316
"7","fall2spr","rcp45",181.036238737594,194.07414962963,203.433686053241,0.12371803276421
"10","summer","rcp45",68.3573657467925,69.8776794320988,73.5380987654321,0.075788950642567
"13","fall2spr","rcp60",181.062356354394,192.361829030864,205.20858745499,0.133358648295368
"16","summer","rcp60",68.3373578068264,68.9751605679012,72.5847919495885,0.0621539122827742
"19","fall2spr","rcp85",181.06419298596,196.295379864198,205.457670113169,0.134722811423573
"22","summer","rcp85",68.3211670539821,69.7530302222222,75.2628165895062,0.101603204904848
