"","season","scenario","value.past","value.present","value.future","change"
"1","other","rcp26",1.43231152465101,3.00505965020576,3.46740995584705,2.03509843119604
"4","spring","rcp26",8.09883473735173,9.83040442592593,10.2652536072531,2.16641886990136
"7","other","rcp45",1.43195288671024,3.08490563786008,4.66873176225995,3.23677887554971
"10","spring","rcp45",8.09656333212297,9.95583543209877,11.4213652584877,3.32480192636468
"13","other","rcp60",1.43320370168644,2.8617273436214,4.77376259859396,3.34055889690753
"16","spring","rcp60",8.09991843379327,9.66057999382716,11.485569219393,3.38565078559973
"19","other","rcp85",1.43212153836843,3.25749889711934,6.50059578832305,5.06847424995461
"22","spring","rcp85",8.0988128600823,10.0889655493827,13.147812969393,5.0490001093107
